path,class4,group_key,source,domain,skin,ink,dark
healthy/healthy_pad_PAT_1006_53_385_tl.jpg,0,pad_PAT_1006,pad_crop,smartphone,1.0,0.0,0.0111
healthy/healthy_pad_PAT_1014_86_861_tl.jpg,0,pad_PAT_1014,pad_crop,smartphone,1.0,0.0,0.013
healthy/healthy_pad_PAT_1017_97_577_tl.jpg,0,pad_PAT_1017,pad_crop,smartphone,1.0,0.0,0.0109
healthy/healthy_pad_PAT_1018_107_68_br.jpg,0,pad_PAT_1018,pad_crop,smartphone,1.0,0.0,0.0092
healthy/healthy_pad_PAT_101_1041_651_tr.jpg,0,pad_PAT_101,pad_crop,smartphone,1.0,0.0,0.0021
healthy/healthy_pad_PAT_101_1041_658_tl.jpg,0,pad_PAT_101,pad_crop,smartphone,1.0,0.0,0.0098
healthy/healthy_pad_PAT_101_1041_898_bl.jpg,0,pad_PAT_101,pad_crop,smartphone,0.959,0.0,0.0057
healthy/healthy_pad_PAT_1020_111_593_tr.jpg,0,pad_PAT_1020,pad_crop,smartphone,1.0,0.0,0.009
healthy/healthy_pad_PAT_1022_114_756_br.jpg,0,pad_PAT_1022,pad_crop,smartphone,0.997,0.0001,0.003
healthy/healthy_pad_PAT_1022_115_132_bl.jpg,0,pad_PAT_1022,pad_crop,smartphone,1.0,0.0,0.01
healthy/healthy_pad_PAT_1026_124_346_tl.jpg,0,pad_PAT_1026,pad_crop,smartphone,1.0,0.0,0.0072
healthy/healthy_pad_PAT_1027_128_854_tr.jpg,0,pad_PAT_1027,pad_crop,smartphone,1.0,0.0,0.0067
healthy/healthy_pad_PAT_1029_135_239_bl.jpg,0,pad_PAT_1029,pad_crop,smartphone,1.0,0.0,0.008
healthy/healthy_pad_PAT_1031_148_29_tl.jpg,0,pad_PAT_1031,pad_crop,smartphone,1.0,0.0,0.0067
healthy/healthy_pad_PAT_1031_148_292_tr.jpg,0,pad_PAT_1031,pad_crop,smartphone,1.0,0.0,0.0048
healthy/healthy_pad_PAT_1035_165_800_tr.jpg,0,pad_PAT_1035,pad_crop,smartphone,1.0,0.0,0.0117
healthy/healthy_pad_PAT_1036_169_687_tr.jpg,0,pad_PAT_1036,pad_crop,smartphone,1.0,0.0,0.0132
healthy/healthy_pad_PAT_104_1754_276_tl.jpg,0,pad_PAT_104,pad_crop,smartphone,1.0,0.0,0.0088
healthy/healthy_pad_PAT_1057_242_297_tr.jpg,0,pad_PAT_1057,pad_crop,smartphone,1.0,0.0,0.0147
healthy/healthy_pad_PAT_1063_268_704_tr.jpg,0,pad_PAT_1063,pad_crop,smartphone,1.0,0.0,0.0079
healthy/healthy_pad_PAT_1063_268_919_tr.jpg,0,pad_PAT_1063,pad_crop,smartphone,1.0,0.0,0.0138
healthy/healthy_pad_PAT_1063_269_755_tr.jpg,0,pad_PAT_1063,pad_crop,smartphone,1.0,0.0,0.0067
healthy/healthy_pad_PAT_1063_271_448_tr.jpg,0,pad_PAT_1063,pad_crop,smartphone,1.0,0.0,0.0111
healthy/healthy_pad_PAT_1065_275_136_bl.jpg,0,pad_PAT_1065,pad_crop,smartphone,1.0,0.0,0.0036
healthy/healthy_pad_PAT_1065_276_231_tr.jpg,0,pad_PAT_1065,pad_crop,smartphone,1.0,0.0,0.0048
healthy/healthy_pad_PAT_1066_281_99_tr.jpg,0,pad_PAT_1066,pad_crop,smartphone,1.0,0.0,0.0057
healthy/healthy_pad_PAT_1067_284_533_br.jpg,0,pad_PAT_1067,pad_crop,smartphone,0.979,0.0001,0.0088
healthy/healthy_pad_PAT_106_158_249_tr.jpg,0,pad_PAT_106,pad_crop,smartphone,1.0,0.0,0.006
healthy/healthy_pad_PAT_106_158_270_bl.jpg,0,pad_PAT_106,pad_crop,smartphone,1.0,0.0,0.0079
healthy/healthy_pad_PAT_106_159_325_tl.jpg,0,pad_PAT_106,pad_crop,smartphone,1.0,0.0,0.0
healthy/healthy_pad_PAT_1070_308_751_tr.jpg,0,pad_PAT_1070,pad_crop,smartphone,1.0,0.0,0.0045
healthy/healthy_pad_PAT_1071_312_841_tr.jpg,0,pad_PAT_1071,pad_crop,smartphone,1.0,0.0,0.0017
healthy/healthy_pad_PAT_1071_313_789_tr.jpg,0,pad_PAT_1071,pad_crop,smartphone,1.0,0.0,0.0103
healthy/healthy_pad_PAT_1071_314_500_tl.jpg,0,pad_PAT_1071,pad_crop,smartphone,1.0,0.0,0.0022
healthy/healthy_pad_PAT_1074_322_174_tl.jpg,0,pad_PAT_1074,pad_crop,smartphone,1.0,0.0,0.005
healthy/healthy_pad_PAT_1074_322_662_bl.jpg,0,pad_PAT_1074,pad_crop,smartphone,1.0,0.0,0.0046
